partner id,customerID,asset id,device id,device type,platform,content type,premium content
81-0637168,9732-EQMWY,55-2601217,168.192.149.236/14,tv,sony liv,Comedy|Romance,NO
84-2045607,1099-BTKWT,15-8214852,251.102.56.83/18,mobile,sony liv,Action|Crime,NO
37-1880143,4815-TUMEQ,39-1180795,135.48.22.199/12,tv,sony liv,Comedy|Horror,NO
06-8084221,6407-UTSLV,68-9555650,9.3.23.99/25,mobile,sony liv,Comedy|Drama,NO
62-2436170,0018-NYROU,34-6491029,41.191.180.27/11,tab,hotstar,Adventure|Comedy|Musical|Romance|Western,YES
76-8357161,4632-XJMEX,71-0628943,225.188.249.166/11,tv,sony liv,Action|Sci-Fi,NO
89-6782462,1409-PHXTF,63-7581910,2.247.118.60/9,tab,sony liv,Comedy|Drama,NO
26-7648778,8229-TNIQA,21-1667905,245.12.43.97/3,tv,hotstar,Drama,YES
19-1707999,0529-ONKER,91-4778816,45.51.165.81/10,mobile,sony liv,Comedy|Romance,NO
63-1801633,3675-YDUPJ,00-9823729,173.177.75.92/1,tv,hotstar,Comedy|Drama,YES
84-2281715,4484-CGXFK,08-7418435,142.202.246.158/24,mobile,hotstar,Drama|Thriller,YES
14-3504616,4443-EMBNA,82-7542774,4.101.102.7/13,tv,sony liv,Crime|Drama,NO
97-6490427,4280-DLSHD,39-8053246,67.204.214.197/9,mobile,hotstar,Drama|Romance,YES
77-8133775,9300-AGZNL,53-1548702,175.188.249.51/31,laptop,hotstar,Comedy|Musical,YES
27-6899785,2789-CZANW,28-5362735,123.163.158.229/7,tv,sony liv,Documentary,NO
75-3597206,8464-EETCQ,56-7480504,236.194.152.222/26,tab,hotstar,Action|Adventure|Drama|War,YES
15-3788119,7216-EWTRS,20-7059122,103.73.184.16/3,tv,sony liv,Drama|Romance,NO
10-6240462,4468-KAZHE,49-8046837,24.97.127.58/23,tv,sony liv,Drama,NO
30-7554999,8623-ULFNQ,78-7832240,51.84.145.37/17,tv,sony liv,Animation|Children,NO
62-6524051,9317-WZPGV,90-5973323,119.142.170.6/20,tab,sony liv,Drama,NO
76-3730235,8947-YRTDV,90-8506898,147.23.213.248/5,tv,hotstar,Romance|Thriller,YES
98-9475255,1814-DKOLC,02-7197763,132.31.50.75/23,mobile,hotstar,Horror|Thriller,YES
47-4456892,8071-SBTRN,76-2731250,30.130.246.218/19,tv,hotstar,Drama,YES
79-7473443,4701-MLJPN,73-1781914,84.160.109.0/25,tv,hotstar,Action|Mystery|Thriller,YES
28-9974803,1205-WNWPJ,05-6323042,219.146.147.216/10,tv,hotstar,Drama,YES
55-1033042,6158-HDPXZ,35-2844922,62.13.7.196/21,tv,sony liv,Western,NO
95-6513487,6683-VLCTZ,68-1960666,17.34.103.179/11,tab,sony liv,Adventure|Comedy|Western,NO
96-7552013,3727-OWVYD,42-2617853,107.45.254.152/4,tv,hotstar,Drama,YES
84-0123835,0856-NAOES,99-3559248,33.51.80.230/12,mobile,sony liv,Documentary,NO
89-0303869,0562-FGDCR,13-3634242,11.244.243.117/7,tv,sony liv,Thriller,NO
87-1466489,0956-SYCWG,19-4561677,171.78.27.179/9,mobile,sony liv,Comedy,NO
84-4907101,2277-VWCNI,40-3071041,141.33.203.254/8,mobile,sony liv,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,NO
08-4064640,3498-LZGQZ,40-4894316,235.46.192.252/12,tv,hotstar,Comedy|Romance,YES
47-9154992,9135-MGVPY,58-1622010,25.70.60.192/5,tv,hotstar,Action|Drama|Sci-Fi,YES
12-8892523,3815-SLMEF,53-2132845,164.47.66.69/20,tv,hotstar,Documentary,YES
38-6972474,4513-CXYIX,28-7720800,90.3.150.207/20,tv,sony liv,Crime|Drama|Thriller,NO
52-8763210,8944-AILEF,73-0344351,7.219.177.12/19,tv,sony liv,Drama|Romance,NO
90-4566392,1270-XKUCC,34-2836516,214.57.38.63/21,tv,hotstar,Comedy,YES
96-7809665,6633-SYEUS,66-3164039,41.102.153.73/1,mobile,hotstar,Comedy,YES
04-9704224,8075-GXIUB,71-1384174,214.14.172.180/13,tab,sony liv,Comedy|Documentary,NO
34-9927636,6016-NXBNJ,49-9879583,219.109.59.62/3,tv,sony liv,Children|Fantasy|Musical,NO
98-4854471,9332-GYWLO,55-9779371,32.35.215.233/28,mobile,hotstar,Horror|Mystery,YES
67-1973481,3276-HDUEG,48-4335666,34.125.54.73/26,tab,hotstar,Comedy|Drama,YES
78-6196498,5884-FBCTL,33-6498882,162.128.41.119/10,tv,sony liv,Drama,NO
47-6422892,8999-YPYBV,12-7379992,163.49.250.135/15,tv,sony liv,Action|Drama|Thriller,NO
84-2478897,1522-VVDMG,61-4349877,39.209.147.198/11,laptop,hotstar,Drama|Musical|Romance,YES
35-7181278,0848-SOMKO,64-6582968,151.137.1.62/9,tv,hotstar,Comedy|Romance,YES
63-3442095,1657-DYMBM,33-7245482,218.122.212.91/30,tv,hotstar,Comedy|Drama,YES
47-3241376,6923-EFPNL,05-8116048,204.25.77.240/2,tv,hotstar,Action|Drama|War,YES
74-6554130,2167-FQSTQ,37-0848351,96.9.185.194/14,tab,sony liv,Drama|Romance,NO
70-0612130,9286-BHDQG,29-0994497,31.171.90.82/31,mobile,hotstar,Action|Thriller,YES
25-4499802,7225-CBZPL,20-5204724,209.89.233.149/23,tv,sony liv,Crime|Drama|Romance|Thriller,NO
01-9005773,5605-IYGFG,72-5402031,74.40.254.25/12,tv,sony liv,Comedy|Drama|Romance,NO
18-7848396,6861-OKBCE,90-9417127,135.233.222.157/12,mobile,hotstar,Drama,YES
99-9599519,7571-YXDAD,36-2237437,43.97.56.115/29,tab,hotstar,Comedy|Drama,YES
88-7173340,0254-FNMCI,78-5755391,2.152.186.180/19,tv,sony liv,Drama,NO
42-1654885,8981-FJGLA,51-0547227,195.185.183.195/26,tv,sony liv,Comedy,NO
44-3179712,8414-MYSHR,71-3270046,111.51.3.65/13,tv,sony liv,Children|Comedy|Musical,NO
03-2496842,9274-CNFMO,71-0640754,49.89.141.110/3,tv,hotstar,Thriller,YES
87-2949919,3794-NFNCH,43-5677397,175.128.204.125/7,tab,hotstar,Comedy,YES
64-5379161,5158-RIVOP,27-6338824,225.181.235.242/24,tv,sony liv,Romance,NO
94-7574246,1100-DDVRV,94-2586627,37.185.50.95/26,tv,hotstar,Drama|Romance,YES
68-6119208,9522-BNTHX,57-6651457,119.115.48.22/14,tv,hotstar,Documentary,YES
75-2970597,3677-IYRBF,26-8093777,38.220.140.57/2,tv,sony liv,Comedy,NO
77-7815205,7009-PCARS,01-0955460,111.13.193.84/20,mobile,sony liv,Action,NO
73-9202121,8250-ZNGGW,41-2575010,250.181.136.224/31,mobile,hotstar,Documentary|War,YES
36-3732604,0967-BMLBD,97-5672765,73.83.238.219/5,tv,sony liv,Comedy,NO
15-1829437,7594-RQHXR,37-1897338,72.187.81.211/8,mobile,sony liv,Musical|Romance,NO
69-0873500,8966-SNIZF,03-0994161,65.189.115.125/30,tab,sony liv,Comedy,NO
08-9814022,7235-NXZCP,77-0409114,96.109.89.46/12,mobile,sony liv,Drama|Mystery|Thriller,NO
62-6801992,0122-OAHPZ,86-0800191,13.23.166.152/28,laptop,sony liv,Drama|Romance,NO
89-2588140,7815-PDTHL,17-3428248,154.11.205.225/25,tab,hotstar,Drama|Romance,YES
51-2468377,8331-ZXFOE,32-7787644,75.69.192.35/12,tab,sony liv,Drama|Horror|Thriller,NO
90-4988793,8901-UPRHR,45-1045340,92.233.47.2/15,tv,hotstar,Comedy|Romance,YES
55-8659150,3563-SVYLG,41-8768191,116.69.244.2/1,tv,hotstar,Documentary,YES
94-9053582,3205-MXZRA,82-0039777,54.55.36.37/6,tv,hotstar,Comedy|Romance,YES
93-2101944,5392-AKEMH,96-7603348,50.164.53.204/24,mobile,hotstar,Action|Sci-Fi,YES
80-9878856,8201-AAXCB,37-1598184,106.195.101.221/24,tab,sony liv,Comedy,NO
58-2804934,6919-ELBGL,29-2753368,42.48.66.212/30,tv,hotstar,Drama,YES
32-6757636,0530-IJVDB,58-7071643,115.126.118.133/5,tv,hotstar,Horror,YES
25-9919536,5047-LHVLY,49-2774881,138.50.222.242/16,mobile,hotstar,Drama|Romance,YES
35-9617311,8404-FYDIB,59-5508273,221.68.250.95/27,mobile,sony liv,(no genres listed),NO
99-2004260,3415-TAILE,40-4604940,116.210.111.35/7,tv,sony liv,Drama,NO
70-5175781,2819-GWENI,79-4727786,121.221.77.100/14,tab,sony liv,Children|Drama,NO
45-5627166,6164-HXUGH,86-3024648,175.145.241.255/17,tv,hotstar,Action|Comedy,YES
35-4231213,6762-QVYJO,91-3715042,189.215.3.145/23,mobile,sony liv,Action|Adventure|Drama|Romance|War,NO
71-5103509,5046-NUHWD,57-4932718,45.7.143.250/28,tab,sony liv,Action|Adventure|Drama,NO
26-5519766,0106-GHRQR,14-6030583,129.180.7.6/2,laptop,hotstar,Horror|Mystery,YES
66-1529762,8374-XGEJJ,75-0333795,181.27.218.121/4,mobile,hotstar,Action|Adventure|Animation|Fantasy,YES
11-4265364,2546-KZAAT,77-8893770,12.59.56.71/16,tv,hotstar,Documentary,YES
88-8793978,7569-NMZYQ,84-5243456,32.200.86.171/4,tv,sony liv,Comedy,NO
97-5419490,3279-DYZQM,63-5143551,216.245.11.105/25,tv,sony liv,Documentary,NO
03-3884266,0374-FIUCA,43-2373687,227.90.120.36/25,tv,sony liv,Drama,NO
31-6349544,3714-NTNFO,47-4335907,62.15.130.120/13,mobile,hotstar,Documentary,YES
01-5084740,8705-DWKTI,59-1712327,36.239.44.40/24,tv,sony liv,Drama|Musical,NO
22-6752497,4195-SMMNX,24-0056650,229.61.255.169/4,mobile,sony liv,Action|Comedy|Musical,NO
53-6166027,2599-CIPQE,42-5658550,197.80.81.215/10,laptop,sony liv,Drama|Romance,NO
36-7499787,5136-GFPMB,72-7061266,173.167.94.234/30,laptop,sony liv,Crime|Drama|Thriller,NO
34-7686465,6476-YHMGA,40-0298386,75.86.141.151/22,mobile,hotstar,Drama,YES
05-3863206,3055-MJDSB,05-7305234,59.74.177.56/19,mobile,hotstar,Action|Adventure|Drama,YES
96-7581683,7516-GMHUV,03-4170678,12.98.55.214/16,tv,sony liv,(no genres listed),NO
04-8190324,5940-NFXKV,02-8530863,186.180.6.40/20,mobile,sony liv,Drama|Romance,NO
07-9719844,3597-YASZG,52-0700964,47.79.19.222/11,tv,sony liv,Action|Adventure|Sci-Fi|Western,NO
13-8650001,3786-WOVKF,68-6450464,80.144.18.23/12,mobile,hotstar,Drama,YES
32-7943416,2806-MLNTI,76-4585032,252.83.91.42/6,tv,hotstar,Drama,YES
74-5095150,0799-DDIHE,85-3009806,159.24.252.188/19,mobile,sony liv,Drama,NO
01-3988072,9926-PJHDQ,26-8567997,61.239.132.139/14,mobile,hotstar,Comedy|Drama,YES
98-3393989,0334-GDDSO,50-9396420,217.43.205.1/12,tab,hotstar,Documentary|Musical,YES
51-8392145,2371-KFUOG,84-2560196,191.166.255.190/7,mobile,sony liv,Drama,NO
03-0447471,4634-JLRJT,58-5430640,247.87.238.148/23,mobile,sony liv,Horror,NO
92-9063717,5886-VLQVU,27-1296503,74.190.22.186/12,mobile,sony liv,Comedy,NO
56-9788063,3194-ORPIK,19-9659623,205.19.194.244/14,tab,hotstar,Drama|Romance,YES
21-8079915,6048-NJXHX,34-8458900,121.248.165.252/11,tab,hotstar,Drama|Romance,YES
46-9049610,7860-KSUGX,73-2976265,228.132.1.222/9,tv,hotstar,Drama|Horror|Mystery|Thriller,YES
43-0905686,2925-MXLSX,04-5464294,179.217.144.38/20,mobile,sony liv,Comedy,NO
12-1223950,2933-FILNV,92-3844390,251.229.226.153/28,tv,sony liv,Drama,NO
55-6343952,7758-XKCBS,90-2318582,144.105.108.239/30,mobile,sony liv,Sci-Fi,NO
94-7842173,2027-DNKIV,24-1899174,200.89.36.7/5,mobile,hotstar,Comedy|Romance,YES
93-7219352,4751-ERMAN,23-2060331,206.172.213.39/25,laptop,sony liv,Crime|Mystery|Thriller,NO
65-3967450,8224-KDLKN,86-8342797,114.193.174.136/16,tv,hotstar,Drama,YES
42-4037733,7929-SKFGK,85-7404648,211.175.75.41/3,mobile,sony liv,Action|Sci-Fi,NO
56-8495658,8329-IBCTI,20-8179502,220.57.68.34/11,tv,hotstar,Horror|Romance,YES
37-7847543,5016-IBERQ,40-1025203,236.113.161.160/30,tv,hotstar,Drama,YES
48-4496198,5405-ZMYXQ,30-5987640,39.14.67.63/1,tab,hotstar,Comedy|Musical,YES
46-7286638,7841-TZDMQ,65-1259228,221.61.112.123/4,mobile,sony liv,Documentary,NO
24-6407608,9754-CLVZW,07-0817670,69.230.116.47/4,mobile,hotstar,Crime,YES
60-7665893,9503-XJUME,40-4750334,187.133.213.84/14,laptop,sony liv,Drama|Romance|War,NO
79-8664113,3298-QEICA,35-6392290,5.204.220.120/26,tv,hotstar,Horror|Thriller,YES
89-0533192,9420-LOJKX,49-5426816,241.95.25.214/1,mobile,sony liv,Action|Sci-Fi|Thriller,NO
67-4264860,3391-JSQEW,22-8678350,38.89.226.20/4,mobile,hotstar,Action|Thriller,YES
33-4334313,4939-KYYPY,54-0132478,17.31.99.186/8,tv,hotstar,Drama,YES
82-6298215,2061-VVFST,13-0821362,141.116.142.245/14,tv,sony liv,Documentary|Drama|War,NO
67-7751842,6480-YAGIY,38-5841719,121.30.53.83/20,tv,hotstar,Comedy|Crime|Horror,YES
46-9880387,0330-IVZHA,34-1718793,20.231.149.38/8,mobile,hotstar,Horror|Sci-Fi,YES
01-4852234,7161-DFHUF,34-2827697,156.176.62.80/10,tv,sony liv,Western,NO
34-1243109,1260-TTRXI,58-4915328,60.105.29.73/9,tv,sony liv,Drama,NO
04-5227829,8577-QSOCG,46-7364796,32.34.130.67/4,mobile,hotstar,Drama,YES
31-8554757,8963-JLGJT,83-7600437,23.156.173.129/7,mobile,hotstar,Drama,YES
09-3643689,3266-FTKHB,62-9604328,154.134.29.119/17,tv,hotstar,Crime|Drama|Horror|Thriller,YES
16-0257498,6122-LJADA,76-1768524,49.132.141.138/17,mobile,hotstar,Western,YES
36-4700263,8710-YGLWG,76-4826782,127.205.141.10/9,tab,hotstar,Drama,YES
37-6107224,6463-HHXJR,49-2655842,180.75.92.63/2,tv,hotstar,Drama|Romance|Thriller,YES
33-6470732,9576-SYUHJ,36-6562061,29.182.2.217/14,tv,hotstar,Comedy,YES
04-4415581,9289-LBQVU,37-6003203,108.119.72.13/26,tv,sony liv,Action|Fantasy|Horror,NO
08-8586657,2207-QPJED,27-7366725,246.112.98.183/5,mobile,sony liv,Documentary,NO
24-3549077,6990-YNRIO,15-4097502,152.213.64.225/28,tv,hotstar,Adventure|Children|Fantasy|Musical,YES
64-8108319,0489-WMEMG,44-7043165,96.152.35.204/8,mobile,sony liv,Drama|Horror,NO
55-6578677,2189-UXTKY,24-3192912,252.52.245.139/11,tv,sony liv,Comedy|Drama,NO
28-6405828,7105-MXJLL,88-4175186,110.76.171.91/11,tv,sony liv,Crime|Drama|Thriller,NO
86-0309576,7133-VBDCG,74-9414156,43.51.43.243/14,mobile,sony liv,Comedy,NO
93-4504004,9933-QRGTX,07-9321314,223.7.107.56/24,tv,sony liv,Comedy|Musical,NO
38-0823299,6356-ELRKD,90-9819750,209.141.22.202/3,laptop,hotstar,Action|Adventure|Crime|Drama|Mystery|Thriller,YES
99-9596151,2194-IIQOF,93-0968712,181.66.54.25/24,mobile,hotstar,Documentary,YES
56-3437994,8063-GBATB,47-0248133,223.125.208.63/21,tv,sony liv,Comedy,NO
55-6781181,9611-CTWIH,97-0372287,107.215.78.121/28,tv,hotstar,Drama|Romance|Thriller,YES
40-4016062,3571-DPYUH,91-0804293,147.34.160.77/4,tab,hotstar,Drama|War,YES
45-5436278,8519-QJGJD,12-2104187,203.88.212.176/25,tv,hotstar,Mystery,YES
74-1015976,5846-NEQVZ,88-3217058,51.102.151.142/3,tv,sony liv,Horror|Thriller,NO
50-3136108,6022-KOUQO,88-3502376,186.166.138.242/3,tv,sony liv,Horror|Thriller,NO
18-4075520,7205-BAIAD,80-4569996,180.174.55.139/19,tv,hotstar,Action|Crime,YES
70-5565550,9574-BOSMD,52-3363830,188.77.110.154/11,tab,hotstar,Children|Mystery,YES
71-2152586,4884-TVUQF,03-2665702,197.41.230.252/7,tv,sony liv,Action|Adventure|Comedy|Sci-Fi,NO
06-3298746,6439-GTPCA,54-2188795,8.68.40.41/8,mobile,sony liv,Drama,NO
06-4593305,3795-CAWEX,15-6985738,162.67.60.118/24,tab,sony liv,Comedy|Horror|Thriller,NO
71-0007762,7821-DPRQE,14-2451056,226.47.54.160/16,tv,sony liv,Comedy|Fantasy,NO
06-9821511,4983-CLMLV,82-6370789,212.88.36.252/8,mobile,sony liv,Documentary,NO
39-5862261,2380-DAMQP,27-3582587,242.84.70.108/25,mobile,hotstar,Action|Adventure,YES
08-2652935,7534-BFESC,43-2359372,172.133.237.114/10,mobile,hotstar,Comedy,YES
98-5308854,6695-FRVEC,66-4285689,61.52.153.76/17,tv,sony liv,Adventure|Sci-Fi|Thriller,NO
61-8079628,0361-HJRDX,31-2404978,225.101.117.180/12,mobile,hotstar,Drama,YES
51-6517266,0354-VXMJC,57-5626738,58.113.39.120/2,tv,hotstar,Comedy|Romance,YES
51-1034893,6559-ILWKJ,32-8918470,250.95.247.210/13,mobile,sony liv,Romance,NO
79-0760112,9895-VFOXH,57-1426706,6.22.248.43/26,mobile,sony liv,Documentary,NO
64-3796450,8229-BUJHX,84-0008742,194.81.250.240/20,mobile,sony liv,Drama|Thriller,NO
92-5560171,4476-OSWTN,42-7608775,147.136.18.76/23,mobile,sony liv,Comedy|Drama,NO
31-5601602,2995-UPRYS,67-2080295,147.41.34.24/19,tv,sony liv,Crime|Drama|Thriller,NO
20-6486688,9208-OLGAQ,28-0835784,242.107.3.112/21,tv,hotstar,Crime|Drama,YES
39-5348991,4124-MMETB,82-4323861,130.171.119.179/1,tv,sony liv,Drama|Thriller,NO
58-2888890,8882-TLVRW,33-0560908,194.105.130.2/24,mobile,sony liv,Comedy,NO
20-2862654,2957-JIRMN,37-3119217,39.184.208.141/5,mobile,sony liv,Adventure|Sci-Fi,NO
68-6069662,3646-ITDGM,94-5161343,72.173.61.102/3,tv,sony liv,Drama|Mystery|Romance|Thriller,NO
76-1858853,2673-ZALNP,58-2222198,149.37.8.38/10,mobile,sony liv,Action|Crime|Drama|Thriller,NO
50-8637104,9975-SKRNR,94-9326556,5.225.95.77/25,tv,sony liv,Comedy,NO
33-8540132,3724-UCSHY,95-1385313,47.227.12.247/21,tv,hotstar,Crime|Drama|Film-Noir,YES
56-7236952,0259-GBZSH,42-0029327,24.196.57.58/27,mobile,hotstar,Comedy|Mystery,YES
55-2139712,7130-CTCUS,25-1393046,168.226.174.160/12,tv,sony liv,Comedy|Drama|Romance,NO
97-7987514,8150-QUDFX,78-3061633,106.204.90.217/22,mobile,sony liv,Comedy|Romance,NO
01-0393495,8218-FFJDS,12-3746100,91.100.21.173/8,tab,sony liv,Comedy,NO
85-4585125,8259-NFJTV,83-5636899,42.15.237.154/18,tv,hotstar,Documentary,YES
42-6053861,7909-FIOIY,43-4388194,89.51.52.135/24,tv,sony liv,Drama,NO
63-2029837,3317-VLGQT,04-7103253,98.190.78.34/20,mobile,sony liv,Comedy,NO
79-8518300,2722-VOJQL,14-4017552,201.106.24.39/26,tv,sony liv,Drama|Horror|Mystery,NO
39-2024938,0584-BJQGZ,74-4250064,105.216.172.100/12,tab,sony liv,Action|Adventure|Animation|Children|Comedy,NO
89-6452052,6732-VAILE,23-1411272,2.198.177.67/7,tv,sony liv,Documentary,NO
64-4198996,1302-TPUBN,98-4441429,231.141.180.19/12,mobile,sony liv,Action|Adventure|Comedy|Romance,NO
00-2474257,8380-PEFPE,84-3164587,48.164.73.51/16,tv,sony liv,Mystery|Thriller,NO
17-2636772,7402-PWYJJ,07-6198165,34.84.49.97/10,tab,sony liv,Comedy,NO
05-8229346,4250-FDVOU,13-1916395,56.233.148.67/5,tab,sony liv,Documentary|IMAX,NO
00-8842947,9128-CPXKI,64-1931416,122.247.47.43/13,tab,hotstar,Comedy|Crime|Western,YES
13-6673067,4183-WCSEP,58-0270530,91.212.238.125/23,mobile,hotstar,Animation|Children|Fantasy|Musical|Romance,YES
49-1763305,0404-SWRVG,84-8719335,56.29.120.2/27,tv,sony liv,Comedy,NO
09-4575201,6227-HWPWX,15-0981803,172.140.204.62/15,mobile,hotstar,Action|Comedy|Romance,YES
26-0123731,1899-VXWXM,20-6873644,76.3.134.151/25,tv,hotstar,Drama,YES
31-9163169,8450-JOVAH,67-7245194,47.69.182.243/23,mobile,sony liv,Action|Comedy|Crime|Romance,NO
04-0428319,4550-VBOFE,43-1195373,204.224.146.113/6,mobile,hotstar,Drama,YES
83-7710757,9546-CQJSU,61-9191250,6.134.20.130/29,tv,hotstar,Horror|Mystery|Sci-Fi|Thriller,YES
75-4651617,4789-KWMXN,86-0202093,50.16.170.223/1,tv,hotstar,Drama|Romance,YES
12-0894556,0835-DUUIQ,30-3649342,183.249.146.214/23,tv,hotstar,Drama|War,YES
04-0869377,1855-AGAWH,48-5194868,128.28.9.139/28,tv,sony liv,Action|Comedy|Crime|Romance,NO
94-0011837,9079-YEXQJ,58-1985567,248.73.99.238/9,tab,hotstar,Drama|Romance,YES
89-5337126,3577-AMVUX,19-6405350,156.233.251.40/28,tv,hotstar,Drama|Fantasy,YES
50-9982200,2316-ESMLS,59-5128123,237.37.195.222/12,mobile,sony liv,Adventure|Drama|Thriller,NO
66-7204755,9426-SXNHE,82-9819413,200.192.68.99/15,tv,sony liv,Documentary,NO
33-3792654,8550-XSXUQ,74-3779111,136.250.185.217/2,tv,sony liv,Drama|Mystery|Romance,NO
33-6943445,0723-DRCLG,16-4184915,68.242.253.33/7,tv,hotstar,Action,YES
90-5396445,2176-OSJUV,38-8796793,32.215.98.166/19,mobile,hotstar,Comedy|Romance,YES
44-1680190,0107-WESLM,14-3802286,6.128.120.218/6,mobile,hotstar,Comedy|Drama,YES
91-9783599,8626-XHBIE,64-4556998,13.247.68.248/13,tab,hotstar,Documentary|Musical,YES
28-0461896,0188-GWFLE,10-0924252,77.0.186.85/25,tv,hotstar,Action|Adventure|Comedy|Crime|Drama|Film-Noir|Horror|Mystery|Thriller|Western,YES
40-9605431,8166-ZZTFS,08-9736301,83.91.134.9/22,tab,sony liv,Crime|Drama,NO
10-8619974,5774-QPLTF,25-4714950,89.182.150.41/22,tv,sony liv,Drama,NO
58-0648685,0929-PECLO,19-0918944,153.123.35.168/27,tab,sony liv,Action,NO
77-2189271,5696-QURRL,71-9149955,236.117.134.164/13,tv,sony liv,Horror|Mystery|Thriller,NO
20-8602064,8124-NZVGJ,43-5949165,206.112.150.30/24,mobile,sony liv,Documentary|Drama|War,NO
94-5241920,4130-MZLCC,98-8026318,169.194.129.32/17,tab,sony liv,Comedy,NO
40-2446140,4489-SNOJF,76-7258757,236.148.181.105/13,mobile,hotstar,(no genres listed),YES
85-6546771,8984-HPEMB,91-3031077,171.162.66.70/16,mobile,hotstar,Drama,YES
39-4812749,4615-PIVVU,43-3835671,210.210.253.212/14,tv,sony liv,Documentary,NO
92-2208495,6848-HJTXY,91-5683905,185.74.199.117/28,laptop,sony liv,Action|Sci-Fi,NO
47-8163773,8757-TFHHJ,47-5766262,87.191.64.199/4,tv,sony liv,Comedy,NO
13-9913858,4603-JANFB,11-8990088,229.129.128.161/25,tv,hotstar,Thriller,YES
68-5014899,8565-HBFNN,09-1912888,143.237.181.106/24,mobile,sony liv,Crime|Thriller,NO
55-8967732,7422-WNBTY,85-5649118,199.191.140.200/23,tv,sony liv,Drama|Romance,NO
26-4588862,4712-UYOOI,92-6909887,215.190.168.75/14,tv,hotstar,Comedy|Musical|Western,YES
93-8778180,3372-CDXFJ,84-3825035,18.179.198.238/19,tv,sony liv,Crime|Mystery|Thriller,NO
41-0596080,5353-WILCI,94-3918978,184.78.176.37/4,tab,sony liv,Adventure|Children|Drama,NO
