,customerID,platform,content type,premium content,Customer Longevity,Subscription Type ,Contract Amount,Contract Term,IssueType,platform,appVersion,Upgradable,Status,profile ID,Subscribed,Video resolution,ApplicationVersion,PremiumContentType,VideoType,DRM,CDN,Platform
10,4578-PHJYZ,hotstar,Horror,YES,1 Years,1 Months,950.0,6 Months,Offline content,Facebook Watch,Android 11,YES,ACTIVE,11.0,True,480p,3.100000000000002,No,Documentary,Widevine,Cloudfront,Android
11,2091-MJTFX,hotstar,Sci-Fi,YES,4 Years,12 Months,350.0,1 Month,Device/Browser Compatibility,Sonyliv,Android TV 12.3.2,YES,ACTIVE,12.0,True,1080p,1.8000000000000007,Yes,Documentary,Widevine,Akamai,Android
12,2277-DJJDL,sony liv,Action|Crime|Thriller,NO,1 Years,1 Months,950.0,6 Months,Security and anti-piracy,Disney + Hotstar,None,NO,ACTIVE,13.0,False,480p,5.800000000000003,Yes,Series,Widevine,Cloudfront,iOS
13,2511-MORQY,hotstar,Comedy,YES,4 Years,12 Months,950.0,6 Months,Device/Browser Compatibility,HBO Max,FireOS 7.6.1.3,YES,INACTIVE,14.0,False,480p,5.700000000000005,No,Movie,Widevine,Cloudfront,Android
14,2731-GJRDG,hotstar,Crime|Drama|Mystery,YES,4 Years,12 Months,650.0,3 Months,Personalized suggestions and recommendations for content,Sling TV,Windows 10,YES,ACTIVE,15.0,False,720p,3.6000000000000023,No,Movie,PlayReady,Akamai,Android
15,1784-EZDKJ,sony liv,Horror,NO,2 Years,3 Months,350.0,1 Month,Customer Support,Amazon Prime Video,Extension 6.5,NO,ACTIVE,16.0,False,720p,6.800000000000005,No,Movie,Widevine,Cloudfront,iOS
16,2468-SJFLM,sony liv,Adventure|Comedy|Thriller,NO,4 Years,12 Months,950.0,6 Months,Better user interface and workability,BigFlix,macOS Ventura 13.0.1,NO,ACTIVE,17.0,True,1080p,6.300000000000003,No,Documentary,Widevine,Cloudfront,Android
17,5115-SQAAU,sony liv,Comedy|Drama|Fantasy|Sci-Fi,NO,3 Years,6 Months,950.0,6 Months,Offline content,Alt Balaji,Xcode 14.1,NO,INACTIVE,18.0,True,1080p,4.900000000000004,No,Series,Widevine,Akamai,iOS
18,8708-XPXHZ,hotstar,Drama,YES,2 Years,3 Months,950.0,6 Months,Better user interface and workability,Voot,Android 11,YES,ACTIVE,19.0,True,720p,5.100000000000003,Yes,Movie,Widevine,Cloudfront,Android
19,0601-WZHJF,hotstar,Action|Adventure|Drama|Romance|Western,YES,2 Years,3 Months,350.0,1 Month,Functionalities and features of the app,Peacock,Android TV 12.3.2,YES,INACTIVE,20.0,True,2K,4.700000000000003,No,Movie,PlayReady,Cloudfront,iOS
20,0463-TXOAK,sony liv,Drama,NO,4 Years,12 Months,950.0,6 Months,Device/Browser Compatibility,ShemarooMe,None,NO,ACTIVE,21.0,True,480p,2.5000000000000013,No,Documentary,PlayReady,Akamai,iOS
21,4683-WYDOU,sony liv,Drama,NO,3 Years,6 Months,650.0,3 Months,Functionalities and features of the app,Eros Now,FireOS 7.6.1.3,NO,INACTIVE,22.0,False,720p,5.100000000000003,Yes,Movie,Widevine,Akamai,FireTV
22,1166-PQLGG,sony liv,Comedy,NO,3 Years,6 Months,650.0,3 Months,Offline content,Eros Now,Windows 10,NO,INACTIVE,23.0,False,480p,4.000000000000003,No,Documentary,Widevine,Cloudfront,Android
23,0963-ZBDRN,sony liv,Action|Comedy|Drama,NO,4 Years,12 Months,1500.0,12 Months,Security and anti-piracy,Disney + Hotstar,Extension 6.5,NO,INACTIVE,24.0,False,480p,1.4000000000000004,No,Documentary,Widevine,Akamai,Browser
24,4871-JTKJF,hotstar,Drama|Romance,YES,1 Years,1 Months,950.0,6 Months,Customer Support,Sling TV,macOS Ventura 13.0.1,YES,INACTIVE,25.0,True,1080p,5.400000000000004,No,Movie,PlayReady,Akamai,Android
25,7173-TETGO,sony liv,Comedy,NO,2 Years,3 Months,950.0,6 Months,Customer Support,Zee5,Xcode 14.1,NO,INACTIVE,26.0,False,2K,2.5000000000000013,Yes,Series,PlayReady,Cloudfront,Browser
26,4193-ORFCL,sony liv,Drama,NO,4 Years,12 Months,950.0,6 Months,Multiple user accounts,Voot,Android 11,NO,ACTIVE,27.0,True,720p,2.700000000000001,Yes,Series,Widevine,Cloudfront,iOS
27,2692-PFYTJ,hotstar,Action|Drama|Thriller,YES,3 Years,6 Months,350.0,1 Month,Response Time in different networks,Voot,Android TV 12.3.2,YES,INACTIVE,28.0,False,720p,4.000000000000003,No,Movie,Widevine,Akamai,iOS
28,2369-UAPKZ,sony liv,Drama,NO,2 Years,3 Months,350.0,1 Month,Multiple user accounts,Eros Now,None,NO,ACTIVE,29.0,True,480p,2.000000000000001,Yes,Movie,Widevine,Akamai,Android
29,5193-QLVZB,hotstar,Horror|War,YES,4 Years,12 Months,1500.0,12 Months,Playback Quality,Airtel Xstream,FireOS 7.6.1.3,YES,INACTIVE,30.0,False,480p,2.200000000000001,No,Documentary,Widevine,Cloudfront,FireTV
30,0379-DJQHR,sony liv,Action|Comedy,NO,3 Years,6 Months,350.0,1 Month,Device/Browser Compatibility,Alt Balaji,Windows 10,NO,ACTIVE,31.0,False,480p,5.200000000000004,Yes,Series,PlayReady,Cloudfront,iOS
31,4657-FWVFY,sony liv,Action|Adventure|Western,NO,2 Years,3 Months,1500.0,12 Months,Offline content,Voot,Extension 6.5,NO,INACTIVE,32.0,True,480p,6.500000000000004,Yes,Documentary,Widevine,Akamai,Android
32,0623-EJQEG,sony liv,Comedy,NO,2 Years,3 Months,950.0,6 Months,Playback Quality,ShemarooMe,macOS Ventura 13.0.1,NO,INACTIVE,33.0,False,480p,2.9000000000000017,No,Movie,Widevine,Akamai,FireTV
33,1699-TLDLZ,hotstar,Drama|Romance,YES,4 Years,12 Months,950.0,6 Months,Functionalities and features of the app,Sling TV,Xcode 14.1,YES,INACTIVE,34.0,False,1080p,3.4000000000000017,Yes,Documentary,PlayReady,Akamai,Android
34,4501-UYKBC,hotstar,Adventure|Comedy|Drama,YES,1 Years,1 Months,350.0,1 Month,Playback Quality,ShemarooMe,Android 11,YES,ACTIVE,35.0,False,480p,3.3000000000000016,Yes,Series,PlayReady,Cloudfront,Android
35,8158-WPEZG,hotstar,Action|Comedy,YES,2 Years,3 Months,950.0,6 Months,Functionalities and features of the app,BigFlix,Android TV 12.3.2,YES,INACTIVE,36.0,False,1080p,4.800000000000003,No,Documentary,PlayReady,Akamai,Android
36,9732-EQMWY,sony liv,Comedy|Romance,NO,3 Years,6 Months,350.0,1 Month,Personalized suggestions and recommendations for content,Mx Player,None,NO,INACTIVE,37.0,False,720p,6.400000000000005,Yes,Movie,PlayReady,Cloudfront,Android
37,1099-BTKWT,sony liv,Action|Crime,NO,2 Years,3 Months,1500.0,12 Months,Better user interface and workability,YouTube TV,FireOS 7.6.1.3,NO,ACTIVE,38.0,True,720p,5.100000000000003,No,Movie,PlayReady,Akamai,Android
38,4815-TUMEQ,sony liv,Comedy|Horror,NO,2 Years,3 Months,650.0,3 Months,Security and anti-piracy,Amazon Prime Video,Windows 10,NO,INACTIVE,39.0,False,480p,2.000000000000001,Yes,Series,PlayReady,Akamai,FireTV
39,6407-UTSLV,sony liv,Comedy|Drama,NO,3 Years,6 Months,950.0,6 Months,Response Time in different networks,Eros Now,Extension 6.5,NO,INACTIVE,40.0,False,480p,3.200000000000002,No,Movie,Widevine,Akamai,FireTV
40,0018-NYROU,hotstar,Adventure|Comedy|Musical|Romance|Western,YES,2 Years,3 Months,1500.0,12 Months,Security and anti-piracy,BigFlix,macOS Ventura 13.0.1,YES,INACTIVE,41.0,False,720p,2.100000000000001,Yes,Movie,PlayReady,Cloudfront,Android
41,4632-XJMEX,sony liv,Action|Sci-Fi,NO,1 Years,1 Months,650.0,3 Months,Personalized suggestions and recommendations for content,Voot,Xcode 14.1,NO,ACTIVE,42.0,False,480p,2.200000000000001,No,Series,PlayReady,Cloudfront,FireTV
42,1409-PHXTF,sony liv,Comedy|Drama,NO,4 Years,12 Months,950.0,6 Months,Playback Quality,Peacock,Android 11,NO,INACTIVE,43.0,True,2K,4.500000000000004,No,Movie,Widevine,Akamai,iOS
43,8229-TNIQA,hotstar,Drama,YES,4 Years,12 Months,950.0,6 Months,Offline content,Airtel Xstream,Android TV 12.3.2,YES,ACTIVE,44.0,True,480p,2.700000000000001,Yes,Series,PlayReady,Cloudfront,FireTV
44,0529-ONKER,sony liv,Comedy|Romance,NO,4 Years,12 Months,950.0,6 Months,Device/Browser Compatibility,Peacock,None,NO,INACTIVE,45.0,False,2K,6.0000000000000036,Yes,Documentary,Widevine,Akamai,iOS
45,3675-YDUPJ,hotstar,Comedy|Drama,YES,4 Years,12 Months,950.0,6 Months,Playback Quality,Netflix,FireOS 7.6.1.3,YES,INACTIVE,46.0,False,1080p,1.1,No,Documentary,PlayReady,Akamai,Browser
46,4484-CGXFK,hotstar,Drama|Thriller,YES,4 Years,12 Months,350.0,1 Month,Personalized suggestions and recommendations for content,YouTube TV,Windows 10,YES,INACTIVE,47.0,True,720p,2.700000000000001,Yes,Series,Widevine,Akamai,Android
47,4443-EMBNA,sony liv,Crime|Drama,NO,2 Years,3 Months,1500.0,12 Months,Better user interface and workability,YouTube TV,Extension 6.5,NO,INACTIVE,48.0,True,480p,4.3000000000000025,No,Movie,Widevine,Akamai,iOS
48,4280-DLSHD,hotstar,Drama|Romance,YES,4 Years,12 Months,950.0,6 Months,Response Time in different networks,Eros Now,macOS Ventura 13.0.1,YES,INACTIVE,49.0,False,480p,3.4000000000000017,No,Documentary,Widevine,Cloudfront,iOS
49,9300-AGZNL,hotstar,Comedy|Musical,YES,2 Years,3 Months,650.0,3 Months,Playback Quality,Hulu,Xcode 14.1,YES,ACTIVE,50.0,False,2K,2.9000000000000017,No,Documentary,PlayReady,Cloudfront,Android
50,2789-CZANW,sony liv,Documentary,NO,2 Years,3 Months,1500.0,12 Months,Offline content,Jio Tv,Android 11,NO,ACTIVE,51.0,False,480p,4.200000000000003,No,Movie,Widevine,Akamai,Android
51,8464-EETCQ,hotstar,Action|Adventure|Drama|War,YES,2 Years,3 Months,350.0,1 Month,Personalized suggestions and recommendations for content,BigFlix,Android TV 12.3.2,YES,ACTIVE,52.0,False,720p,1.4000000000000004,Yes,Movie,PlayReady,Akamai,Browser
52,7216-EWTRS,sony liv,Drama|Romance,NO,2 Years,3 Months,1500.0,12 Months,Better user interface and workability,Netflix,None,NO,INACTIVE,53.0,False,720p,1.6000000000000003,No,Series,Widevine,Cloudfront,iOS
53,4468-KAZHE,sony liv,Drama,NO,1 Years,1 Months,1500.0,12 Months,Device/Browser Compatibility,Eros Now,FireOS 7.6.1.3,NO,ACTIVE,54.0,False,720p,2.9000000000000017,Yes,Movie,Widevine,Cloudfront,Android
54,8623-ULFNQ,sony liv,Animation|Children,NO,4 Years,12 Months,350.0,1 Month,Better user interface and workability,Hulu,Windows 10,NO,INACTIVE,55.0,True,480p,1.9000000000000008,No,Series,PlayReady,Cloudfront,Android
55,9317-WZPGV,sony liv,Drama,NO,2 Years,3 Months,950.0,6 Months,Device/Browser Compatibility,Sonyliv,Extension 6.5,NO,INACTIVE,56.0,False,1080p,2.100000000000001,Yes,Movie,Widevine,Cloudfront,Android
56,8947-YRTDV,hotstar,Romance|Thriller,YES,1 Years,1 Months,950.0,6 Months,Offline content,Zee5,macOS Ventura 13.0.1,YES,INACTIVE,57.0,True,720p,2.5000000000000013,Yes,Movie,Widevine,Akamai,FireTV
57,1814-DKOLC,hotstar,Horror|Thriller,YES,2 Years,3 Months,950.0,6 Months,Customer Support,Airtel Xstream,Xcode 14.1,YES,INACTIVE,58.0,True,480p,2.100000000000001,Yes,Series,Widevine,Akamai,FireTV
58,8071-SBTRN,hotstar,Drama,YES,2 Years,3 Months,1500.0,12 Months,Customer Support,Sling TV,Android 11,YES,INACTIVE,59.0,False,1080p,2.3000000000000007,No,Documentary,Widevine,Akamai,Android
59,4701-MLJPN,hotstar,Action|Mystery|Thriller,YES,4 Years,12 Months,1500.0,12 Months,Functionalities and features of the app,HBO Max,Android TV 12.3.2,YES,INACTIVE,60.0,False,720p,1.3000000000000005,Yes,Documentary,Widevine,Cloudfront,FireTV
60,1205-WNWPJ,hotstar,Drama,YES,1 Years,1 Months,650.0,3 Months,Functionalities and features of the app,Airtel Xstream,None,YES,INACTIVE,61.0,True,1080p,6.600000000000005,Yes,Movie,PlayReady,Cloudfront,Android
61,6158-HDPXZ,sony liv,Western,NO,4 Years,12 Months,350.0,1 Month,Security and anti-piracy,Disney + Hotstar,FireOS 7.6.1.3,NO,ACTIVE,62.0,False,480p,5.100000000000003,Yes,Documentary,Widevine,Cloudfront,Android
62,6683-VLCTZ,sony liv,Adventure|Comedy|Western,NO,4 Years,12 Months,1500.0,12 Months,Customer Support,Jio Tv,Windows 10,NO,INACTIVE,63.0,True,1080p,1.0,No,Series,PlayReady,Cloudfront,Android
63,3727-OWVYD,hotstar,Drama,YES,2 Years,3 Months,950.0,6 Months,Playback Quality,ShemarooMe,Extension 6.5,YES,INACTIVE,64.0,False,4K,2.200000000000001,Yes,Documentary,Widevine,Akamai,iOS
64,0856-NAOES,sony liv,Documentary,NO,4 Years,12 Months,950.0,6 Months,Personalized suggestions and recommendations for content,HBO Max,macOS Ventura 13.0.1,NO,ACTIVE,65.0,True,480p,1.4000000000000004,Yes,Series,Widevine,Cloudfront,iOS
65,0562-FGDCR,sony liv,Thriller,NO,4 Years,12 Months,650.0,3 Months,Playback Quality,Disney + Hotstar,Xcode 14.1,NO,ACTIVE,66.0,True,480p,1.3000000000000005,No,Series,PlayReady,Cloudfront,Browser
66,0956-SYCWG,sony liv,Comedy,NO,2 Years,3 Months,350.0,1 Month,Playback Quality,Facebook Watch,Android 11,NO,ACTIVE,67.0,False,480p,3.100000000000002,Yes,Movie,Widevine,Akamai,Browser
67,2277-VWCNI,sony liv,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,NO,1 Years,1 Months,1500.0,12 Months,Personalized suggestions and recommendations for content,Eros Now,Android TV 12.3.2,NO,ACTIVE,68.0,True,720p,2.9000000000000017,Yes,Movie,PlayReady,Cloudfront,FireTV
68,3498-LZGQZ,hotstar,Comedy|Romance,YES,4 Years,12 Months,1500.0,12 Months,Playback Quality,ShemarooMe,None,YES,INACTIVE,69.0,False,480p,3.4000000000000017,No,Series,PlayReady,Cloudfront,FireTV
69,9135-MGVPY,hotstar,Action|Drama|Sci-Fi,YES,4 Years,12 Months,350.0,1 Month,Offline content,Sling TV,FireOS 7.6.1.3,YES,ACTIVE,70.0,False,480p,3.100000000000002,Yes,Series,PlayReady,Akamai,FireTV
70,3815-SLMEF,hotstar,Documentary,YES,2 Years,3 Months,950.0,6 Months,Device/Browser Compatibility,Amazon Prime Video,Windows 10,YES,INACTIVE,71.0,False,1080p,5.300000000000004,No,Series,Widevine,Cloudfront,FireTV
71,4513-CXYIX,sony liv,Crime|Drama|Thriller,NO,2 Years,3 Months,650.0,3 Months,Offline content,Netflix,Extension 6.5,NO,INACTIVE,72.0,False,480p,6.100000000000005,Yes,Series,Widevine,Akamai,FireTV
72,8944-AILEF,sony liv,Drama|Romance,NO,4 Years,12 Months,650.0,3 Months,Customer Support,Facebook Watch,macOS Ventura 13.0.1,NO,INACTIVE,73.0,False,480p,3.9000000000000026,Yes,Series,PlayReady,Cloudfront,Android
73,1270-XKUCC,hotstar,Comedy,YES,1 Years,1 Months,350.0,1 Month,Security and anti-piracy,Amazon Prime Video,Xcode 14.1,YES,ACTIVE,74.0,False,480p,5.900000000000004,Yes,Movie,PlayReady,Cloudfront,iOS
74,6633-SYEUS,hotstar,Comedy,YES,4 Years,12 Months,1500.0,12 Months,Device/Browser Compatibility,Jio Tv,Android 11,YES,INACTIVE,75.0,False,480p,3.200000000000002,No,Movie,PlayReady,Cloudfront,iOS
75,8075-GXIUB,sony liv,Comedy|Documentary,NO,4 Years,12 Months,950.0,6 Months,Offline content,Hulu,Android TV 12.3.2,NO,INACTIVE,76.0,False,4K,2.000000000000001,No,Series,PlayReady,Akamai,Browser
76,6016-NXBNJ,sony liv,Children|Fantasy|Musical,NO,3 Years,6 Months,950.0,6 Months,Playback Quality,Zee5,None,NO,INACTIVE,77.0,False,480p,4.500000000000004,Yes,Movie,PlayReady,Cloudfront,iOS
77,9332-GYWLO,hotstar,Horror|Mystery,YES,4 Years,12 Months,650.0,3 Months,Personalized suggestions and recommendations for content,Facebook Watch,FireOS 7.6.1.3,YES,ACTIVE,78.0,True,720p,2.9000000000000017,Yes,Series,PlayReady,Akamai,Browser
78,3276-HDUEG,hotstar,Comedy|Drama,YES,2 Years,3 Months,1500.0,12 Months,Personalized suggestions and recommendations for content,Netflix,Windows 10,YES,ACTIVE,79.0,False,480p,3.7000000000000015,Yes,Series,Widevine,Cloudfront,Browser
79,5884-FBCTL,sony liv,Drama,NO,1 Years,1 Months,950.0,6 Months,Offline content,Airtel Xstream,Extension 6.5,NO,INACTIVE,80.0,True,480p,6.200000000000005,No,Series,PlayReady,Cloudfront,FireTV
80,8999-YPYBV,sony liv,Action|Drama|Thriller,NO,1 Years,1 Months,950.0,6 Months,Response Time in different networks,ShemarooMe,macOS Ventura 13.0.1,NO,INACTIVE,81.0,False,480p,4.400000000000003,No,Documentary,PlayReady,Cloudfront,FireTV
81,1522-VVDMG,hotstar,Drama|Musical|Romance,YES,3 Years,6 Months,950.0,6 Months,Better user interface and workability,Netflix,Xcode 14.1,YES,INACTIVE,82.0,True,480p,3.0000000000000018,No,Documentary,Widevine,Akamai,FireTV
82,0848-SOMKO,hotstar,Comedy|Romance,YES,4 Years,12 Months,950.0,6 Months,Device/Browser Compatibility,Hulu,Android 11,YES,INACTIVE,83.0,True,480p,1.3000000000000005,No,Movie,PlayReady,Akamai,Browser
83,1657-DYMBM,hotstar,Comedy|Drama,YES,4 Years,12 Months,350.0,1 Month,Better user interface and workability,BigFlix,Android TV 12.3.2,YES,ACTIVE,84.0,True,1080p,5.400000000000004,Yes,Documentary,Widevine,Akamai,Browser
84,6923-EFPNL,hotstar,Action|Drama|War,YES,4 Years,12 Months,950.0,6 Months,Device/Browser Compatibility,Sling TV,None,YES,ACTIVE,85.0,False,480p,1.4000000000000004,No,Series,PlayReady,Cloudfront,Browser
85,2167-FQSTQ,sony liv,Drama|Romance,NO,2 Years,3 Months,1500.0,12 Months,Offline content,Sling TV,FireOS 7.6.1.3,NO,ACTIVE,86.0,True,1080p,4.200000000000003,Yes,Documentary,Widevine,Akamai,FireTV
86,9286-BHDQG,hotstar,Action|Thriller,YES,1 Years,1 Months,1500.0,12 Months,Multiple user accounts,Sonyliv,Windows 10,YES,INACTIVE,87.0,True,4K,2.100000000000001,No,Documentary,PlayReady,Akamai,iOS
87,7225-CBZPL,sony liv,Crime|Drama|Romance|Thriller,NO,4 Years,12 Months,950.0,6 Months,Playback Quality,HBO Max,Extension 6.5,NO,ACTIVE,88.0,False,480p,6.600000000000005,Yes,Documentary,PlayReady,Cloudfront,Android
88,5605-IYGFG,sony liv,Comedy|Drama|Romance,NO,3 Years,6 Months,1500.0,12 Months,Response Time in different networks,YouTube TV,macOS Ventura 13.0.1,NO,INACTIVE,89.0,False,720p,1.9000000000000008,No,Movie,Widevine,Cloudfront,Browser
89,6861-OKBCE,hotstar,Drama,YES,3 Years,6 Months,950.0,6 Months,Functionalities and features of the app,Zee5,Xcode 14.1,YES,INACTIVE,90.0,True,480p,3.9000000000000026,No,Movie,Widevine,Cloudfront,FireTV
90,7571-YXDAD,hotstar,Comedy|Drama,YES,4 Years,12 Months,650.0,3 Months,Response Time in different networks,Facebook Watch,Android 11,YES,INACTIVE,91.0,False,480p,3.7000000000000015,Yes,Series,PlayReady,Cloudfront,Android
91,0254-FNMCI,sony liv,Drama,NO,3 Years,6 Months,350.0,1 Month,Better user interface and workability,Netflix,Android TV 12.3.2,NO,INACTIVE,92.0,False,2K,1.4000000000000004,Yes,Movie,PlayReady,Akamai,Android
92,8981-FJGLA,sony liv,Comedy,NO,3 Years,6 Months,350.0,1 Month,Device/Browser Compatibility,Amazon Prime Video,None,NO,INACTIVE,93.0,True,480p,4.500000000000004,Yes,Series,Widevine,Akamai,Android
93,8414-MYSHR,sony liv,Children|Comedy|Musical,NO,4 Years,12 Months,950.0,6 Months,Security and anti-piracy,Jio Tv,FireOS 7.6.1.3,NO,INACTIVE,94.0,False,4K,6.400000000000005,Yes,Movie,PlayReady,Cloudfront,Browser
94,9274-CNFMO,hotstar,Thriller,YES,4 Years,12 Months,950.0,6 Months,Security and anti-piracy,Sling TV,Windows 10,YES,INACTIVE,95.0,True,720p,2.100000000000001,Yes,Movie,Widevine,Akamai,Android
95,3794-NFNCH,hotstar,Comedy,YES,4 Years,12 Months,1500.0,12 Months,Personalized suggestions and recommendations for content,ShemarooMe,Extension 6.5,YES,INACTIVE,96.0,False,720p,6.500000000000004,Yes,Series,Widevine,Akamai,Android
96,5158-RIVOP,sony liv,Romance,NO,2 Years,3 Months,1500.0,12 Months,Security and anti-piracy,Sling TV,macOS Ventura 13.0.1,NO,ACTIVE,97.0,False,480p,1.3000000000000005,Yes,Movie,PlayReady,Akamai,Browser
97,1100-DDVRV,hotstar,Drama|Romance,YES,4 Years,12 Months,650.0,3 Months,Customer Support,Hulu,Xcode 14.1,YES,ACTIVE,98.0,True,480p,4.800000000000003,No,Movie,Widevine,Cloudfront,iOS
98,9522-BNTHX,hotstar,Documentary,YES,4 Years,12 Months,1500.0,12 Months,Offline content,HBO Max,Android 11,YES,ACTIVE,99.0,True,720p,1.6000000000000003,No,Movie,Widevine,Cloudfront,iOS
99,3677-IYRBF,sony liv,Comedy,NO,4 Years,12 Months,1500.0,12 Months,Customer Support,Hulu,Android TV 12.3.2,NO,ACTIVE,100.0,True,480p,1.4000000000000004,Yes,Documentary,PlayReady,Akamai,Browser
100,7009-PCARS,sony liv,Action,NO,4 Years,12 Months,950.0,6 Months,Personalized suggestions and recommendations for content,Alt Balaji,None,NO,ACTIVE,101.0,False,480p,4.200000000000003,No,Movie,PlayReady,Cloudfront,iOS
101,8250-ZNGGW,hotstar,Documentary|War,YES,4 Years,12 Months,650.0,3 Months,Response Time in different networks,Voot,FireOS 7.6.1.3,YES,ACTIVE,102.0,True,480p,6.500000000000004,No,Movie,Widevine,Akamai,FireTV
102,0967-BMLBD,sony liv,Comedy,NO,2 Years,3 Months,650.0,3 Months,Customer Support,BigFlix,Windows 10,NO,ACTIVE,103.0,True,480p,2.200000000000001,No,Movie,Widevine,Akamai,FireTV
103,7594-RQHXR,sony liv,Musical|Romance,NO,3 Years,6 Months,650.0,3 Months,Multiple user accounts,Netflix,Extension 6.5,NO,INACTIVE,104.0,True,480p,4.600000000000003,No,Documentary,Widevine,Cloudfront,Android
104,8966-SNIZF,sony liv,Comedy,NO,4 Years,12 Months,350.0,1 Month,Personalized suggestions and recommendations for content,Zee5,macOS Ventura 13.0.1,NO,ACTIVE,105.0,False,4K,3.0000000000000018,Yes,Movie,Widevine,Akamai,Android
105,7235-NXZCP,sony liv,Drama|Mystery|Thriller,NO,3 Years,6 Months,950.0,6 Months,Offline content,Disney + Hotstar,Xcode 14.1,NO,ACTIVE,106.0,True,720p,5.000000000000004,Yes,Series,Widevine,Cloudfront,iOS
106,0122-OAHPZ,sony liv,Drama|Romance,NO,4 Years,12 Months,650.0,3 Months,Playback Quality,Sling TV,Android 11,NO,ACTIVE,107.0,True,480p,3.8000000000000025,Yes,Movie,PlayReady,Akamai,Android
107,7815-PDTHL,hotstar,Drama|Romance,YES,2 Years,3 Months,950.0,6 Months,Response Time in different networks,Alt Balaji,Android TV 12.3.2,YES,INACTIVE,108.0,True,1080p,4.000000000000003,Yes,Documentary,PlayReady,Cloudfront,iOS
108,8331-ZXFOE,sony liv,Drama|Horror|Thriller,NO,2 Years,3 Months,1500.0,12 Months,Response Time in different networks,Eros Now,None,NO,ACTIVE,109.0,False,720p,6.600000000000005,No,Series,Widevine,Akamai,iOS
109,8901-UPRHR,hotstar,Comedy|Romance,YES,2 Years,3 Months,950.0,6 Months,Multiple user accounts,BigFlix,FireOS 7.6.1.3,YES,INACTIVE,110.0,True,480p,3.5000000000000018,Yes,Series,PlayReady,Akamai,iOS
110,3563-SVYLG,hotstar,Documentary,YES,2 Years,3 Months,950.0,6 Months,Offline content,Sonyliv,Windows 10,YES,INACTIVE,111.0,True,480p,6.700000000000005,Yes,Series,PlayReady,Cloudfront,iOS
111,3205-MXZRA,hotstar,Comedy|Romance,YES,4 Years,12 Months,650.0,3 Months,Response Time in different networks,ShemarooMe,Extension 6.5,YES,INACTIVE,112.0,False,480p,5.900000000000004,Yes,Series,PlayReady,Akamai,Android
112,5392-AKEMH,hotstar,Action|Sci-Fi,YES,3 Years,6 Months,1500.0,12 Months,Device/Browser Compatibility,Netflix,macOS Ventura 13.0.1,YES,INACTIVE,113.0,False,480p,2.3000000000000007,No,Documentary,Widevine,Cloudfront,Android
